repo_full_name,path,sha,key_path,stargazers_count,minimum_number_of_calls,minimum_number_of_calls_is_default,sliding_window_size,sliding_window_size_is_default,lambda_star,likely_tutorial
gonwan/spring-cloud-demo,config/license-service/license-service.yml,873d86365bbcf3bb2397b94a4baaa7bad62b0e4c,resilience4j.circuitbreaker.instances.lsGetOrganization,18,100,True,60,False,1.6666666666666667,True
gonwan/spring-cloud-demo,config/license-service/license-service.yml,873d86365bbcf3bb2397b94a4baaa7bad62b0e4c,resilience4j.circuitbreaker.instances.lsGetLicenses,18,5,False,60,False,0.08333333333333333,True
heathcetide/shiguang-brand,src/main/resources/application.yml,a08d3aff76edcd6575962878fbfac3cebea37459,resilience4j.circuitbreaker.instances.getHotTopics,47,5,False,10,False,0.5,False
gonwan/spring-cloud-demo,config/license-service/license-service-cdh.yml,062b5acef22e53bafff35e3cad36aa3185fc6253,resilience4j.circuitbreaker.instances.lsGetOrganization,18,100,True,60,False,1.6666666666666667,True
gonwan/spring-cloud-demo,config/license-service/license-service-cdh.yml,062b5acef22e53bafff35e3cad36aa3185fc6253,resilience4j.circuitbreaker.instances.lsGetLicenses,18,5,False,60,False,0.08333333333333333,True
gonwan/spring-cloud-demo,config/license-service/license-service-docker.yml,c9a543d4cd5327406fdc7cc530aefbc2f5d6fd8a,resilience4j.circuitbreaker.instances.lsGetOrganization,18,100,True,60,False,1.6666666666666667,True
gonwan/spring-cloud-demo,config/license-service/license-service-docker.yml,c9a543d4cd5327406fdc7cc530aefbc2f5d6fd8a,resilience4j.circuitbreaker.instances.lsGetLicenses,18,5,False,60,False,0.08333333333333333,True
gonwan/spring-cloud-demo,license-service/src/main/resources/application.yml,5c3e0187bc99ab277569fa29e99a00010e8d2c4b,resilience4j.circuitbreaker.instances.lsGetOrganization,18,100,True,60,False,1.6666666666666667,True
gonwan/spring-cloud-demo,license-service/src/main/resources/application.yml,5c3e0187bc99ab277569fa29e99a00010e8d2c4b,resilience4j.circuitbreaker.instances.lsGetLicenses,18,5,False,60,False,0.08333333333333333,True
MyPureCloud/resiliency-patterns-examples,src/main/resources/application.yml,cca12964c38d753dafd44e424b12993ccb551bee,resilience4j.circuitbreaker.instances.genesyscircuit,9,100,True,30,False,3.3333333333333335,True
MyPureCloud/resiliency-patterns-examples,src/main/resources/application.yml,cca12964c38d753dafd44e424b12993ccb551bee,resilience4j.circuitbreaker.instances.genesysfallback,9,100,True,30,False,3.3333333333333335,True
resilience4j/resilience4j-spring-cloud2-demo,server/src/main/resources/config/client.yml,461c1c70519062e5770f76c7d72793f3eda7d70a,resilience4j.circuitbreaker.configs.default,29,5,False,10,False,0.5,True
veenashri09/config-repo,account-service.yml,add93e179c7083a5dea55a8b169046ffdd835283,resilience4j.circuitbreaker.configs.default,0,5,False,10,False,0.5,False
everyone-s-garden/everyonesgarden-v2,api/src/main/resources/application-feign.yml,0ea1b70860d10b4f7fdbc7f7f5fe05aed6e12831,resilience4j.circuitbreaker.instances.openAPI_getWeatherForecast,16,10,False,10,False,1.0,False
everyone-s-garden/everyonesgarden-v2,api/src/main/resources/application-feign.yml,0ea1b70860d10b4f7fdbc7f7f5fe05aed6e12831,resilience4j.circuitbreaker.instances.openAPI_getMidLandForecast,16,10,False,10,False,1.0,False
everyone-s-garden/everyonesgarden-v2,api/src/main/resources/application-feign.yml,0ea1b70860d10b4f7fdbc7f7f5fe05aed6e12831,resilience4j.circuitbreaker.instances.openAPI_getWeekWeatherForecast,16,10,False,10,False,1.0,False
mxenabled/path-sdk-practice,superfake-balances/src/main/resources/gateway.yml,95e606e1fc750ed3b05b96a2418efd7922097186,superfake.facilities.faultTolerantExecutor.configurations.defaults.circuitBreaker,0,100,False,100,True,1.0,True
plopezgit/Sprint5_T1_SpringBoot_Dice_Roller_Microservices,config-data/player-service.yml,accbce2192d496316b03d17234b32138ebdcd651,resilience4j.circuitbreaker.instances.gamesCB,5,4,False,10,False,0.4,False
plopezgit/Jigglink_Microservices_v1,config-data/idea-service.yml,a4e4826aaf4e5690da04d5f537eb54c25b039721,resilience4j.circuitbreaker.instances.gamesCB,2,4,False,10,False,0.4,False
snowdrop/circuit-breaker-example,greeting-service/src/main/resources/application.yml,6bcc14fc62c451fcff67105c6de9fb0e2ed36054,resilience4j.circuitbreaker.configs.default,3,1,False,1,False,1.0,True
plopezgit/Jigglink_Microservices_v1,config-data/student-service.yml,a4e4826aaf4e5690da04d5f537eb54c25b039721,resilience4j.circuitbreaker.instances.gamesCB,2,4,False,10,False,0.4,False
plopezgit/Jigglink_Microservices_v1,config-data/concept-service.yml,a4e4826aaf4e5690da04d5f537eb54c25b039721,resilience4j.circuitbreaker.instances.gamesCB,2,4,False,10,False,0.4,False
plopezgit/Jigglink_Microservices_v1,config-data/itinerary-service.yml,a4e4826aaf4e5690da04d5f537eb54c25b039721,resilience4j.circuitbreaker.instances.gamesCB,2,4,False,10,False,0.4,False
orlandogallardo/config-data,cliente-dev.yml,23072f886baa55bbc50b606305d6ad666effec53,resilience4j.circuitbreaker.instances.productoCB,0,4,False,10,False,0.4,False
orlandogallardo/config-data,cliente-dev.yml,23072f886baa55bbc50b606305d6ad666effec53,resilience4j.circuitbreaker.instances.allCB,0,4,False,10,False,0.4,False
alicanli1995/fintech-golang-spring-app,api-gateway/src/main/resources/application.yml,5e1b93f2529d23da6887d97e122b7ee987e08c3d,resilience4j.circuitbreaker.instances.beCommon,8,20,False,10,False,2.0,False
mceciabate/esp-back-i-parcial-Cecilia-Abate,ConfigData/api-catalog.yml,5566a188ca20c9644cab9201d7c76737468a22c2,resilience4j.circuitbreaker.instances.clientMovie,0,20,False,5,False,4.0,False
mceciabate/esp-back-i-parcial-Cecilia-Abate,ConfigData/api-catalog.yml,5566a188ca20c9644cab9201d7c76737468a22c2,resilience4j.circuitbreaker.instances.clientSerie,0,20,False,5,False,4.0,False
DevSouza/decode-project,EAD/ead-config-server-repo/ead-authuser-service-dev.yml,e56576ab5af65befb3016f46d3caaa05bc046f78,resilience4j.circuitbreaker.instances.circuitbreakerInstance,14,2,False,30,False,0.06666666666666667,False
NastMz/Backend-Ing-Software,config-data/buy-service.yml,4a0a5d0cd85f7059ec3c35b57601523e4732d737,resilience4j.circuitbreaker.instances.userCB,2,4,False,10,False,0.4,False
NastMz/Backend-Ing-Software,config-data/buy-service.yml,4a0a5d0cd85f7059ec3c35b57601523e4732d737,resilience4j.circuitbreaker.instances.user_shoesCB,2,4,False,10,False,0.4,False
DevSouza/decode-project,EAD/ead-config-server-repo/ead-authuser-service-prod.yml,c4dceb58a15f40e8b206cedf70f39db5ac911dd9,resilience4j.circuitbreaker.instances.circuitbreakerInstance,14,2,False,30,False,0.06666666666666667,False
xzwnp/online-mooc,service/service-edu/src/main/resources/application.yml,bba49b7dd5e70b91fee19dcd23d04c4c7e6b75be,resilience4j.circuitbreaker.instances.default,12,100,True,10,False,10.0,False
NastMz/Backend-Ing-Software,config-data/user-service.yml,dba5a6cdf86270be1c3c6d38214a929af1c1c3cb,resilience4j.circuitbreaker.instances.roleCB,2,4,False,10,False,0.4,False
NastMz/Backend-Ing-Software,config-data/user-service.yml,dba5a6cdf86270be1c3c6d38214a929af1c1c3cb,resilience4j.circuitbreaker.instances.questionCB,2,4,False,10,False,0.4,False
xaawii/car-registry-microservices,config-data/user-service.yml,d334ebd158030e71bdf75b5811db7874e948bf7d,resilience4j.circuitbreaker.instances.concessionaire,0,4,False,10,False,0.4,False
snowdrop/circuit-breaker-example,greeting-service/src/main/resources/application-openshift.yml,42d68482ed27921fdf976895b010665982c32f08,resilience4j.circuitbreaker.configs.default,3,1,False,1,False,1.0,True
NastMz/Backend-Ing-Software,config-data/order-service.yml,d30f94a2d92fd749167cb3e2ef133f97ea858035,resilience4j.circuitbreaker.instances.user_status_buyCB,2,4,False,10,False,0.4,False
NastMz/Backend-Ing-Software,config-data/shoes-service.yml,bf2d787d0094d41930837b71ad99502dbe8a3654,resilience4j.circuitbreaker.instances.category_supplierCB,2,4,False,10,False,0.4,False
snowdrop/circuit-breaker-example,greeting-service/src/main/resources/application-kubernetes.yml,a489b4cbc6a3c50842947d16ca7f2dc94be083ba,resilience4j.circuitbreaker.configs.default,3,1,False,1,False,1.0,True
JonyArmada/microservices-config,customers-service.yml,aa75a982028c9091d65a7e7da2466461ecefdff7,resilience4j.circuitbreaker.instance.directionsCB,0,100,True,60,False,1.6666666666666667,False
ingot-cloud/ingot,docs/guides/config-examples/gateway-routes-optimized.yml,2cdafce3f6063f10278f15a7860ffc83c11f6cda,spring.cloud.gateway.routes.0.filters.2.args,5,10,False,60,False,0.16666666666666666,True
NastMz/Backend-Ing-Software,config-data/auth-jwt-service.yml,473b5ae78f6db5110efcf7996cb086a00b2d33de,resilience4j.circuitbreaker.instances.userCB,2,4,False,10,False,0.4,False
NastMz/Backend-Ing-Software,config-data/supplier-service.yml,cc5f2044b032100fbd5fbb542ce656c6232e6f5a,resilience4j.circuitbreaker.instances.cityCB,2,4,False,10,False,0.4,False
51NG-L-R1D-D/configserver,config-data/alumno.yml,5a39f865868bc4a042131b8de06c282dc8a0c0b7,resilience4j.circuitbreaker.instances.backendA,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/alumno.yml,5a39f865868bc4a042131b8de06c282dc8a0c0b7,resilience4j.circuitbreaker.instances.backendB,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/cursos.yml,f50a40bc07958a7187df9d404fa19e032906569c,resilience4j.circuitbreaker.instances.backendA,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/cursos.yml,f50a40bc07958a7187df9d404fa19e032906569c,resilience4j.circuitbreaker.instances.backendB,0,20,False,10,False,2.0,False
EliasDemo/TrabajoFinalDAD,config-data/ms-pedido-service.yml,19d9a9ec807e65f67845b15bd453ae453df1005b,resilience4j.circuitbreaker.instances.productListByIdCB,0,4,False,10,False,0.4,True
EliasDemo/TrabajoFinalDAD,config-data/ms-pedido-service.yml,19d9a9ec807e65f67845b15bd453ae453df1005b,resilience4j.circuitbreaker.instances.clientListByIdCB,0,4,False,10,False,0.4,True
bboyarchix/authDAD,config-data/ms-pedido-service.yml,bcab7e786d0eaf75f6c440905f1e16f143d2bf0b,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
bboyarchix/authDAD,config-data/ms-pedido-service.yml,bcab7e786d0eaf75f6c440905f1e16f143d2bf0b,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
sercancelenk/kafka-ui,src/main/resources/application-circuit-breaker.yml,2678cd042519e8590904fa7266ae7d62c74f8cc3,resilience4j.circuitbreaker.instances.getConsumerGroups,3,5,False,10,False,0.5,False
Bazaar-Ing-de-Software-2/api-gateway,src/main/resources/application.yml,73a89033226691e404229d68f30a58c8bb8dbcf8,resilience4j.circuitbreaker.configs.standard,0,10,False,10,False,1.0,False
Bazaar-Ing-de-Software-2/api-gateway,src/main/resources/application.yml,73a89033226691e404229d68f30a58c8bb8dbcf8,resilience4j.circuitbreaker.configs.critical,0,5,False,10,False,0.5,False
wandrad3/picpay-desafio,src/main/resources/application.yml,d0d9ad6213bf293496064aa5ad5d4dc6a545b2f4,resilience4j.circuitbreaker.configs.default,2,50,False,10,False,5.0,False
gabriel-rcpereira/resilience,src/main/resources/application.yml,2138c5bf5cde5ba1adfda176645a83028989d4ed,resilience4j.circuitbreaker.configs.default,2,7,False,10,False,0.7,False
51NG-L-R1D-D/configserver,config-data/examenes.yml,08d55ce9bc89bb2e48b647bc5b00045098fbdfc3,resilience4j.circuitbreaker.instances.backendA,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/examenes.yml,08d55ce9bc89bb2e48b647bc5b00045098fbdfc3,resilience4j.circuitbreaker.instances.backendB,0,20,False,10,False,2.0,False
NastMz/Backend-Ing-Software,config-data/shoesbought-service.yml,c25009a373303147397a0125268311f70cfde2df,resilience4j.circuitbreaker.instances.shoe_buyCB,2,4,False,10,False,0.4,False
51NG-L-R1D-D/configserver,config-data/preguntas.yml,6b2a98ba0e4822e663167b823e88c5c70ed29d9c,resilience4j.circuitbreaker.instances.backendA,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/preguntas.yml,6b2a98ba0e4822e663167b823e88c5c70ed29d9c,resilience4j.circuitbreaker.instances.backendB,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/respuestas.yml,d6fe5b06017064c81e3a95ed8e454afb6c846102,resilience4j.circuitbreaker.instances.backendA,0,20,False,10,False,2.0,False
51NG-L-R1D-D/configserver,config-data/respuestas.yml,d6fe5b06017064c81e3a95ed8e454afb6c846102,resilience4j.circuitbreaker.instances.backendB,0,20,False,10,False,2.0,False
anietieakpan/waqitiapp,services/common/src/main/resources/circuit-breaker-example.yml,2ee92651ebf7ed9c369fd2980d52d89927fc3674,resilience4j.circuitbreaker.configs.kyc,5,10,False,60,False,0.16666666666666666,True
HidroGreenTeam/Ainy-microservices-local,config-data/user-service.yml,c17f52651733441c55affefe4a57a931ccf99978,resilience4j.circuitbreaker.instances.default,0,3,False,10,False,0.3,False
vitr1988/itpark2021,cloud/AccountService/src/main/resources/application.yml,93b634f4b0530c4e227cfda49c5330114b05889e,resilience4j.circuitbreaker.instances.backendB,3,20,False,10,False,2.0,False
shiva508/studentpool_config,dear-comrade-tutorial-dev.yml,211b9b17ad48c55d1b51299a80fb810e0e06ade2,resilience4j.circuitbreaker.instances.user-circuit-breaker,0,10,False,60,False,0.16666666666666666,True
miikuru002/FlexiDorms,config-data/rooms-service.yml,0cd359ccfbaeb590d7e64148b1c58f92a412ac96,resilience4j.circuitbreaker.instances.account-cb,0,5,False,10,False,0.5,False
23Vvrangler/PROYECTO-DAAA,config-data/venta-service.yml,cf86a4cf138b7a858de5122ec560b513c63c8682,resilience4j.circuitbreaker.instances.pedidoListarPorIdCB,0,4,False,10,False,0.4,False
HidroGreenTeam/Ainy-microservices-local,config-data/crops-service.yml,a7c4d69f7894aebc84dc6430feb487187e42031a,resilience4j.circuitbreaker.instances.default,0,3,False,10,False,0.3,False
GDG-ZIMEET/ZIMEET-BackEnd-V2,zi-meet-core/src/main/resources/application.yml,8b3e52a3d6fbc737373608d1bd57bb4d4608f2ca,resilience4j.circuitbreaker.instances.kakaoPayApi,3,5,False,20,False,0.25,False
