dataset,experiment_id,replicate,run_timestamp,time_to_open,time_to_recover,blast_radius,signature,cell_median,residual_s,robust_z,severity,n_open,n_legs_firing,real_blast_radius,leg_failure_rates
v2_latency_5svc,LIN-LAT-TIM-T30-W5-D15,1,2026-07-26T21:56:08Z,3.648,34.734,0.2,EARLY_OPEN,6.191,-2.5429999999999997,-47.64527781524885,MODERATE,1.0,1.0,0.2,gateway-service:0.9533;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v2_latency_5svc,LIN-LAT-TIM-T50-W5-D15,1,2026-07-26T23:15:54Z,0.291,38.521,0.2,EARLY_OPEN,3.779,-3.488,-65.35066025150925,SEVERE,1.0,1.0,0.2,gateway-service:0.9767;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v2_latency_5svc,LIN-LAT-TIM-T70-W5-D15,1,2026-07-27T00:39:18Z,3.677,35.445,0.2,EARLY_OPEN,6.24,-2.563,-48.019994903846964,MODERATE,1.0,1.0,0.2,gateway-service:0.9533;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-CNT-T30-W5-D5,2,2026-07-30T10:07:22Z,7.298,6.243,0.2,IMPOSSIBLE_BLAST,,,,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-CNT-T30-W5-D5,3,2026-07-30T10:08:57Z,3.322,6.792,0.2,IMPOSSIBLE_BLAST,,,,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-TIM-T30-W5-D5,1,2026-07-30T10:10:42Z,3.641,23.82,0.2,IMPOSSIBLE_BLAST,3.811,-0.16999999999999993,-4.777642879625876,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-TIM-T30-W5-D5,2,2026-07-30T10:12:34Z,6.323,23.987,0.2,IMPOSSIBLE_BLAST,3.811,2.5120000000000005,70.59669949188358,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-TIM-T30-W5-D5,3,2026-07-30T10:14:15Z,3.811,24.057,0.2,IMPOSSIBLE_BLAST,3.811,0.0,0.0,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-CNT-T30-W5-D15,1,2026-07-30T10:15:45Z,3.249,16.724,0.2,IMPOSSIBLE_BLAST,3.42,-0.17099999999999982,-5.364554412581268,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-CNT-T30-W5-D15,2,2026-07-30T10:17:22Z,3.42,16.578,0.2,IMPOSSIBLE_BLAST,3.42,0.0,0.0,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-CNT-T30-W5-D15,3,2026-07-30T10:18:58Z,3.431,16.605,0.2,IMPOSSIBLE_BLAST,3.42,0.01100000000000012,0.3450882955461676,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-TIM-T30-W5-D15,1,2026-07-30T10:20:47Z,3.563,34.888,0.2,IMPOSSIBLE_BLAST,3.574,-0.010999999999999677,-0.3091415980934301,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
v3_gateway_not_rebuilt,LIN-LAT-TIM-T30-W5-D15,2,2026-07-30T10:22:39Z,3.617,34.973,0.2,IMPOSSIBLE_BLAST,3.574,0.04300000000000015,1.208462610728903,,1.0,0.0,0.0,order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
