dv,varying_factor,held,level_a,mean_a,sd_a,n_a,level_b,mean_b,sd_b,n_b,experiment_id_a,experiment_id_b,noise_stratum,observed_effect,raw_mde,effect_to_mde_ratio,status
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '10', 'wait': '15'}",window_type=CNT,0.29860000000000003,0.014876155417311283,5,window_type=TIM,3.097,0.06919537556802463,3,FAN-CRS-CNT-T30-W10-D15,FAN-CRS-TIM-T30-W10-D15,main,-2.7984,0.6093459778325645,4.592464875133617,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '10', 'wait': '30'}",window_type=CNT,0.287,0.0069999999999999785,3,window_type=TIM,3.1956666666666664,0.21038377630733157,3,FAN-CRS-CNT-T30-W10-D30,FAN-CRS-TIM-T30-W10-D30,main,-2.9086666666666665,0.6088209573395158,4.777540312306654,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '10', 'wait': '5'}",window_type=CNT,0.29466666666666663,0.006506407098647718,3,window_type=TIM,3.0513333333333335,0.10984231121627643,3,FAN-CRS-CNT-T30-W10-D5,FAN-CRS-TIM-T30-W10-D5,main,-2.756666666666667,0.6088209573395158,4.527877421817102,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '20', 'wait': '15'}",window_type=CNT,0.40259999999999996,0.11932644300405508,5,window_type=TIM,6.126,0.14405554484295277,3,FAN-CRS-CNT-T30-W20-D15,FAN-CRS-TIM-T30-W20-D15,main,-5.723400000000001,0.6093459778325645,9.39269349140214,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '20', 'wait': '30'}",window_type=CNT,0.30033333333333334,0.006110100926607792,3,window_type=TIM,5.985666666666667,0.13479366948537783,3,FAN-CRS-CNT-T30-W20-D30,FAN-CRS-TIM-T30-W20-D30,main,-5.685333333333333,0.6088209573395158,9.33826811445133,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '20', 'wait': '5'}",window_type=CNT,0.36600000000000005,0.13683566786477863,3,window_type=TIM,6.1323333333333325,0.15124263067446747,3,FAN-CRS-CNT-T30-W20-D5,FAN-CRS-TIM-T30-W20-D5,main,-5.766333333333333,0.6088209573395158,9.471312154777998,POWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '5', 'wait': '15'}",window_type=CNT,0.3102,0.019537144110642186,5,window_type=TIM,1.587,0.10636493783197541,5,FAN-CRS-CNT-T30-W5-D15,FAN-CRS-TIM-T30-W5-D15,tim_w5,-1.2768,4.942600930300111,0.25832552900896927,UNDERPOWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '5', 'wait': '30'}",window_type=CNT,0.2972,0.0097313925005623,5,window_type=TIM,1.5470000000000002,0.029899832775452127,5,FAN-CRS-CNT-T30-W5-D30,FAN-CRS-TIM-T30-W5-D30,tim_w5,-1.2498,4.942600930300111,0.2528628181041744,UNDERPOWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '30', 'window_size': '5', 'wait': '5'}",window_type=CNT,0.2868,0.00511859355682788,5,window_type=TIM,1.6398,0.13589407639775913,5,FAN-CRS-CNT-T30-W5-D5,FAN-CRS-TIM-T30-W5-D5,tim_w5,-1.353,4.942600930300111,0.2737425131180572,UNDERPOWERED
time_to_open,window_type,"{'topology': 'FAN', 'fault': 'CRS', 'threshold': '50', 'window_size': '10', 'wait': '15'}",window_type=CNT,0.3508,0.1069845783279067,5,window_type=TIM,5.062,0.2873168982151938,3,FAN-CRS-CNT-T50-W10-D15,FAN-CRS-TIM-T50-W10-D15,main,-4.7112,0.6093459778325645,7.731568224603165,POWERED
