tau,n_runs_with_observable_legs,n_runs_missing_legs,mean_real_blast_radius,ci_lo,ci_hi,n_distinct_values,share_nonzero
0.05,79,0,0.25,0.25,0.25,1,1.0
0.1,79,0,0.25,0.25,0.25,1,1.0
0.15,79,0,0.25,0.25,0.25,1,1.0
0.2,79,0,0.25,0.25,0.25,1,1.0
0.25,79,0,0.24367088607594936,0.23,0.25,2,0.9746835443037974
0.3,79,0,0.18670886075949367,0.14506172839506173,0.22666666666666666,2,0.7468354430379747
0.35,79,0,0.16455696202531644,0.11666666666666667,0.21,2,0.6582278481012658
0.4,79,0,0.14556962025316456,0.09451219512195122,0.19444444444444445,2,0.5822784810126582
0.45,79,0,0.10443037974683544,0.05965909090909091,0.1513157894736842,2,0.4177215189873418
0.5,79,0,0.0,0.0,0.0,1,0.0
0.55,79,0,0.0,0.0,0.0,1,0.0
0.6,79,0,0.0,0.0,0.0,1,0.0
0.65,79,0,0.0,0.0,0.0,1,0.0
0.7,79,0,0.0,0.0,0.0,1,0.0
0.75,79,0,0.0,0.0,0.0,1,0.0
0.8,79,0,0.0,0.0,0.0,1,0.0
0.85,79,0,0.0,0.0,0.0,1,0.0
0.9,79,0,0.0,0.0,0.0,1,0.0
0.95,79,0,0.0,0.0,0.0,1,0.0
