topology,fault_type,window_size,threshold,wait_duration,lambda_target,COUNT,TIME,ratio
FANOUT,LATENCY,5,30,5,10.0,6.77,23.407,3.457459379615953
FANOUT,LATENCY,5,30,15,10.0,15.958,34.401,2.1557212683293647
FANOUT,LATENCY,5,30,30,10.0,31.367,64.765,2.0647495775815345
FANOUT,LATENCY,5,50,5,10.0,6.762,22.991,3.400029577048211
FANOUT,LATENCY,5,50,15,10.0,16.02,35.062,2.1886392009987516
FANOUT,LATENCY,5,50,30,10.0,31.32,64.736,2.0669220945083016
FANOUT,LATENCY,5,70,5,10.0,6.594,23.173,3.514255383682135
FANOUT,LATENCY,5,70,15,10.0,16.864,35.204,2.0875237191650853
FANOUT,LATENCY,5,70,30,10.0,31.174,64.761,2.0774042471290177
FANOUT,LATENCY,10,30,5,10.0,6.756,24.644,3.647720544701006
FANOUT,LATENCY,10,30,15,10.0,16.017,34.824,2.174189923206593
FANOUT,LATENCY,10,30,30,10.0,31.394,65.062,2.0724342230999553
FANOUT,LATENCY,10,50,5,10.0,6.55,23.155,3.535114503816794
FANOUT,LATENCY,10,50,15,10.0,16.838,34.57,2.053094191709229
FANOUT,LATENCY,10,50,30,10.0,31.201,64.766,2.0757668023460787
FANOUT,LATENCY,10,70,5,10.0,6.363,23.102,3.6306773534496304
FANOUT,LATENCY,10,70,15,10.0,16.634,35.114,2.110977515931225
FANOUT,LATENCY,10,70,30,10.0,30.995,65.24,2.1048556218744956
FANOUT,LATENCY,20,30,5,10.0,7.316,31.648,4.325861126298524
FANOUT,LATENCY,20,30,15,10.0,16.59,52.881,3.1875226039783002
FANOUT,LATENCY,20,30,30,10.0,30.948,65.046,2.1017836370686314
FANOUT,LATENCY,20,50,5,10.0,7.08,31.495,4.448446327683616
FANOUT,LATENCY,20,50,15,10.0,16.334,38.46,2.35459777151953
FANOUT,LATENCY,20,50,30,10.0,31.638,64.671,2.0440925469372275
FANOUT,LATENCY,20,70,5,10.0,6.633,24.791,3.7375244987185288
FANOUT,LATENCY,20,70,15,10.0,16.976,35.056,2.065032987747408
FANOUT,LATENCY,20,70,30,10.0,31.243,64.749,2.072432224818359
LINEAR,LATENCY,5,30,5,10.0,6.659,23.917,3.5916804324973723
LINEAR,LATENCY,5,30,15,10.0,16.07,34.829,2.1673304293715
LINEAR,LATENCY,5,30,30,10.0,31.169,65.161,2.0905707594083864
LINEAR,LATENCY,5,50,5,10.0,6.412,23.723,3.699781659388646
LINEAR,LATENCY,5,50,15,10.0,16.41,34.912,2.127483241925655
LINEAR,LATENCY,5,50,30,10.0,31.978,64.678,2.0225780223903933
LINEAR,LATENCY,5,70,5,10.0,6.389,24.036,3.7620910940679293
LINEAR,LATENCY,5,70,15,10.0,16.101,35.064,2.1777529346003357
LINEAR,LATENCY,5,70,30,10.0,31.072,65.328,2.1024716786817716
LINEAR,LATENCY,10,30,5,10.0,6.507,27.554,4.234516674350699
LINEAR,LATENCY,10,30,15,10.0,16.179,35.592,2.1998887446690154
LINEAR,LATENCY,10,30,30,10.0,31.15,64.732,2.0780738362760833
LINEAR,LATENCY,10,50,5,10.0,6.335,23.225,3.6661404893449094
LINEAR,LATENCY,10,50,15,10.0,16.081,34.997,2.1762950065294446
LINEAR,LATENCY,10,50,30,10.0,31.883,64.962,2.0375121538123766
LINEAR,LATENCY,10,70,5,10.0,6.469,23.733,3.6687277786365744
LINEAR,LATENCY,10,70,15,10.0,16.072,34.947,2.1744026879044305
LINEAR,LATENCY,10,70,30,10.0,30.947,65.034,2.1014637929363107
LINEAR,LATENCY,20,30,5,10.0,6.642,32.557,4.901686239084613
LINEAR,LATENCY,20,30,15,10.0,16.157,54.086,3.3475273875100573
LINEAR,LATENCY,20,30,30,10.0,31.38,65.13,2.0755258126195026
LINEAR,LATENCY,20,50,5,10.0,6.448,31.766,4.926488833746897
LINEAR,LATENCY,20,50,15,10.0,16.4,53.666,3.272317073170732
LINEAR,LATENCY,20,50,30,10.0,31.233,64.824,2.0754970704063007
LINEAR,LATENCY,20,70,5,10.0,6.51,32.365,4.971582181259601
LINEAR,LATENCY,20,70,15,10.0,16.2,53.401,3.2963580246913584
LINEAR,LATENCY,20,70,30,10.0,31.089,64.86,2.086268455080575
