topology,fault_type,window_size,threshold,wait_duration,COUNT,TIME,ratio
LINEAR,LATENCY,5,30,5,6.636,23.894,3.600663050030138
LINEAR,LATENCY,5,30,15,16.16,35.184,2.177227722772277
LINEAR,LATENCY,5,30,30,31.238500000000002,64.641,2.0692734926452934
LINEAR,LATENCY,5,50,5,6.787,23.326,3.436864594076912
LINEAR,LATENCY,5,50,15,16.849,28.326999999999998,1.6812273725443645
LINEAR,LATENCY,5,50,30,31.224,65.275,2.0905393287214964
LINEAR,LATENCY,5,70,5,6.824,24.293,3.5599355216881596
LINEAR,LATENCY,5,70,15,16.658,35.068,2.105174690839236
LINEAR,LATENCY,5,70,30,31.697,65.155,2.0555573082626117
LINEAR,LATENCY,10,30,5,6.601,23.998,3.635509771246781
LINEAR,LATENCY,10,30,15,16.338,35.559,2.1764597869996325
LINEAR,LATENCY,10,30,30,31.32,64.735,2.066890166028097
LINEAR,LATENCY,10,50,5,6.928,23.675,3.4172921478060045
LINEAR,LATENCY,10,50,15,16.808,35.083,2.087279866730128
LINEAR,LATENCY,10,50,30,31.497,65.527,2.0804203574943645
LINEAR,LATENCY,10,70,5,7.023,23.992,3.41620390146661
LINEAR,LATENCY,10,70,15,17.213,35.075,2.0377040608842156
LINEAR,LATENCY,10,70,30,31.633,64.868,2.050643315524926
LINEAR,LATENCY,20,30,5,6.224,40.831,6.560250642673522
LINEAR,LATENCY,20,30,15,16.756999999999998,53.62,3.1998567762726027
LINEAR,LATENCY,20,30,30,31.688,65.153,2.0560780106033834
LINEAR,LATENCY,20,50,5,7.0735,32.695,4.622181381211564
LINEAR,LATENCY,20,50,15,16.729,53.811,3.216629804531054
LINEAR,LATENCY,20,50,30,32.107,65.363,2.0357865885943873
LINEAR,LATENCY,20,70,5,6.998,23.433,3.348528150900257
LINEAR,LATENCY,20,70,15,17.001,33.5225,1.9717957767190164
LINEAR,LATENCY,20,70,30,31.004,65.418,2.1099858082828025
