topology,fault_type,window_size,threshold,wait_duration,COUNT,TIME,ratio
LINEAR,LATENCY,5,30,5,6.5175,23.987,3.680398925968546
LINEAR,LATENCY,5,30,15,16.605,34.973,2.1061728395061725
LINEAR,LATENCY,5,30,30,31.894,65.112,2.0415125101900045
LINEAR,LATENCY,5,50,5,6.463,23.837,3.6882252823766053
LINEAR,LATENCY,5,50,15,16.243,34.62,2.131379671242997
LINEAR,LATENCY,5,50,30,31.143,48.175000000000004,1.5468965738689273
LINEAR,LATENCY,10,30,5,6.724,23.467,3.490035693039857
LINEAR,LATENCY,10,30,15,16.32,35.106,2.151102941176471
LINEAR,LATENCY,10,30,30,31.167,65.232,2.0929829627490615
LINEAR,LATENCY,10,50,5,6.404999999999999,23.361,3.647306791569087
LINEAR,LATENCY,10,50,15,16.92,35.737,2.112115839243499
LINEAR,LATENCY,10,50,30,31.565,64.618,2.0471408205290667
LINEAR,LATENCY,20,30,5,6.267,40.881,6.523216850167544
LINEAR,LATENCY,20,30,15,16.323,53.7,3.2898364271273666
LINEAR,LATENCY,20,30,30,31.794,64.966,2.0433415109769135
LINEAR,LATENCY,20,50,5,6.472,32.473,5.017459826946848
