run_index,run_order_seed,arm,direction,experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,lambda_target,replicate,effective_horizon_nominal,matched_to_count_w,feasible,infeasible_reason
233,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,10,15,20,1,10.0,,1,
73,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,10,15,20,2,10.0,,1,
34,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,10,15,20,3,10.0,,1,
173,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,10,15,20,4,10.0,,1,
16,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,10,15,20,5,10.0,,1,
134,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,10,15,320,1,10.0,,1,
133,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,10,15,320,2,10.0,,1,
191,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,10,15,320,3,10.0,,1,
70,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,10,15,320,4,10.0,,1,
22,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,10,15,320,5,10.0,,1,
81,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,1,10.0,,1,
7,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,2,10.0,,1,
40,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,3,10.0,,1,
265,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,4,10.0,,1,
38,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,5,10.0,,1,
60,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,10,15,80,1,10.0,,1,
102,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,10,15,80,2,10.0,,1,
21,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,10,15,80,3,10.0,,1,
230,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,10,15,80,4,10.0,,1,
194,20260811,base,,LIN-LAT-CNT-T50-W10-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,10,15,80,5,10.0,,1,
154,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,20,15,20,1,20.0,,1,
19,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,20,15,20,2,20.0,,1,
294,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,20,15,20,3,20.0,,1,
269,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,20,15,20,4,20.0,,1,
260,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,20,15,20,5,20.0,,1,
11,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,20,15,320,1,20.0,,1,
164,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,20,15,320,2,20.0,,1,
