experiment_id,topology,fault_type,fault_target,window_type,threshold,window_size,wait_duration,minimum_number_of_calls,permitted_calls_half_open,replicate,mode,environment,run_timestamp,git_commit,duration_s,baseline_tps,baseline_error_rate,fault_tps,fault_error_rate,throughput_loss,blast_radius,real_blast_radius,leg_failure_rates,time_to_open,time_to_recover,cb_opened,cb_recovered,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,occupancy_ratio,inert,injected_toxicity,precondition_ok,excluded_reason
FAN-LAT-CNT-T30-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.69,0.0,5.65,0.7886,0.7132,0.75,0.5,"{""order-service"":0.4268,""inventory-service"":0.7023,""payment-service"":0.6003,""notification-service"":0.0795}",2.66,17.524,True,True,20.0,19.846,0.0345,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.72,0.0,3.56,0.8706,0.8283,0.75,0.75,"{""order-service"":0.7066,""inventory-service"":0.6824,""payment-service"":0.7885,""notification-service"":0.0747}",2.743,17.363,True,True,20.0,20.106,0.0526,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.73,0.0,3.87,0.8304,0.804,0.75,0.5,"{""order-service"":0.7815,""inventory-service"":0.6303,""payment-service"":0.4449,""notification-service"":0.1254}",2.693,18.868,True,True,20.0,19.722,0.0776,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.95,0.0,6.5,0.7709,0.6895,0.75,0.75,"{""order-service"":0.5653,""inventory-service"":0.7403,""payment-service"":0.5802,""notification-service"":0.1102}",2.922,29.214,True,True,20.0,20.031,0.0833,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,22.01,0.0,5.92,0.8026,0.7311,0.75,0.75,"{""order-service"":0.5717,""inventory-service"":0.7223,""payment-service"":0.556,""notification-service"":0.1135}",2.706,25.322,True,True,20.0,19.758,0.0522,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.72,0.0,3.72,0.873,0.8204,0.75,0.5,"{""order-service"":0.4601,""inventory-service"":0.6886,""payment-service"":0.5647,""notification-service"":0.039}",2.821,28.402,True,True,20.0,19.645,0.0678,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.87,0.0,4.18,0.8282,0.7997,0.75,0.5,"{""order-service"":0.4874,""inventory-service"":0.6884,""payment-service"":0.5591,""notification-service"":0.0893}",2.743,47.2,True,True,20.0,20.609,0.0219,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.75,0.0,3.76,0.8744,0.8094,0.5,0.5,"{""order-service"":0.6088,""inventory-service"":0.7186,""payment-service"":0.2917,""notification-service"":0.1072}",2.757,48.49,True,True,20.0,19.91,0.031,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.33,0.0,5.76,0.8371,0.7166,0.25,0.25,"{""order-service"":0.33,""inventory-service"":0.7265,""payment-service"":0.3053,""notification-service"":0.0}",2.737,44.979,True,True,20.0,20.096,0.0534,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.53,0.0,4.03,0.8392,0.8038,0.75,0.75,"{""order-service"":0.5447,""inventory-service"":0.7135,""payment-service"":0.7443,""notification-service"":0.1393}",3.811,17.004,True,True,20.0,20.336,0.0652,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.4,0.0,5.74,0.8076,0.7186,0.75,0.75,"{""order-service"":0.5054,""inventory-service"":0.6375,""payment-service"":0.5597,""notification-service"":0.0959}",3.77,14.242,True,True,20.0,20.032,0.0439,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.72,0.0,4.54,0.818,0.7698,0.5,0.25,"{""order-service"":0.208,""inventory-service"":0.6713,""payment-service"":0.4831,""notification-service"":0.1272}",3.545,15.793,True,True,20.0,19.911,0.0861,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.32,0.0,4.07,0.861,0.809,0.5,0.5,"{""order-service"":0.536,""inventory-service"":0.6692,""payment-service"":0.3672,""notification-service"":0.1151}",3.457,27.74,True,True,20.0,19.827,0.0551,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,19.74,0.0,5.05,0.7975,0.744,0.75,0.75,"{""order-service"":0.598,""inventory-service"":0.6259,""payment-service"":0.6087,""notification-service"":0.0402}",3.581,26.057,True,True,20.0,19.933,0.0501,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,19.96,0.0,4.91,0.8082,0.7539,0.5,0.5,"{""order-service"":0.3954,""inventory-service"":0.6496,""payment-service"":0.7515,""notification-service"":0.0635}",3.853,26.799,True,True,20.0,20.603,0.0769,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.66,0.0,5.7,0.8095,0.7241,0.75,0.5,"{""order-service"":0.5234,""inventory-service"":0.6918,""payment-service"":0.4436,""notification-service"":0.0848}",3.981,43.125,True,True,20.0,20.318,0.0621,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.84,0.0,4.65,0.8685,0.7656,0.5,0.5,"{""order-service"":0.4016,""inventory-service"":0.6637,""payment-service"":0.7384,""notification-service"":0.0823}",3.578,47.12,True,True,20.0,19.455,0.0352,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W10-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.65,0.0,3.58,0.8488,0.818,0.25,0.25,"{""order-service"":0.4191,""inventory-service"":0.66,""payment-service"":0.3182,""notification-service"":0.1368}",3.704,49.143,True,True,20.0,20.427,0.0489,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.43,0.0,4.09,0.8513,0.7894,0.75,0.25,"{""order-service"":0.4825,""inventory-service"":0.6748,""payment-service"":0.4463,""notification-service"":0.1172}",6.099,16.395,True,True,20.0,20.025,0.0835,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.35,0.0,5.37,0.8155,0.7359,0.75,0.5,"{""order-service"":0.493,""inventory-service"":0.7151,""payment-service"":0.6776,""notification-service"":0.0874}",6.225,16.745,True,True,20.0,20.754,0.0575,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.73,0.0,5.82,0.8338,0.7194,0.25,0.25,"{""order-service"":0.2665,""inventory-service"":0.6746,""payment-service"":0.3896,""notification-service"":0.0891}",6.954,16.667,True,True,20.0,20.191,0.0408,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,19.79,0.0,6.42,0.7945,0.6755,0.75,0.75,"{""order-service"":0.5982,""inventory-service"":0.6777,""payment-service"":0.6096,""notification-service"":0.1181}",6.341,26.295,True,True,20.0,20.153,0.0738,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.66,0.0,5.62,0.8274,0.7405,0.5,0.5,"{""order-service"":0.3904,""inventory-service"":0.6598,""payment-service"":0.5586,""notification-service"":0.1261}",6.833,31.606,True,True,20.0,19.997,0.0354,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.62,0.0,7.07,0.7611,0.6574,0.5,0.25,"{""order-service"":0.3898,""inventory-service"":0.6912,""payment-service"":0.4305,""notification-service"":0.0608}",6.396,26.32,True,True,20.0,20.493,0.0272,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.62,0.0,5.83,0.776,0.7173,0.75,0.75,"{""order-service"":0.5129,""inventory-service"":0.691,""payment-service"":0.566,""notification-service"":0.1115}",6.026,45.055,True,True,20.0,20.711,0.0681,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,21.2,0.0,5.7,0.8296,0.731,0.5,0.25,"{""order-service"":0.4987,""inventory-service"":0.6472,""payment-service"":0.4023,""notification-service"":0.0975}",5.99,53.138,True,True,20.0,20.035,0.0555,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T30-W20-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,30,20,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,21.18,0.0,5.8,0.8346,0.7262,0.75,0.25,"{""order-service"":0.4308,""inventory-service"":0.658,""payment-service"":0.4898,""notification-service"":0.06}",6.316,46.056,True,True,20.0,20.217,0.069,False,20.0,4.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.8,0.0,5.5,0.8259,0.7355,0.75,0.5,"{""order-service"":0.4706,""inventory-service"":0.6414,""payment-service"":0.6301,""notification-service"":0.1032}",3.427,16.132,True,True,20.0,20.314,0.0267,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.71,0.0,6.53,0.7904,0.6846,0.25,0.25,"{""order-service"":0.3177,""inventory-service"":0.6985,""payment-service"":0.1958,""notification-service"":0.1029}",3.442,15.59,True,True,20.0,19.861,0.0411,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.34,0.0,5.6,0.8179,0.7103,0.5,0.5,"{""order-service"":0.6133,""inventory-service"":0.7088,""payment-service"":0.2634,""notification-service"":0.1061}",3.59,15.431,True,True,20.0,20.26,0.0729,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,19.42,0.0,5.06,0.8345,0.7396,0.75,0.25,"{""order-service"":0.4662,""inventory-service"":0.6457,""payment-service"":0.476,""notification-service"":0.0933}",3.425,26.724,True,True,20.0,19.33,0.0872,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.38,0.0,5.43,0.8714,0.7461,0.75,0.75,"{""order-service"":0.7199,""inventory-service"":0.7179,""payment-service"":0.529,""notification-service"":0.0527}",3.517,27.431,True,True,20.0,19.857,0.0484,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D15,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.12,0.0,5.5,0.8134,0.7394,0.75,0.75,"{""order-service"":0.525,""inventory-service"":0.6692,""payment-service"":0.5672,""notification-service"":0.1063}",3.526,30.815,True,True,20.0,20.137,0.0872,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.08,0.0,5.63,0.8005,0.7047,0.75,0.5,"{""order-service"":0.4585,""inventory-service"":0.7236,""payment-service"":0.544,""notification-service"":0.0225}",3.685,46.986,True,True,20.0,19.669,0.0483,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.86,0.0,3.93,0.8508,0.8019,0.5,0.5,"{""order-service"":0.3565,""inventory-service"":0.605,""payment-service"":0.6324,""notification-service"":0.071}",3.65,43.243,True,True,20.0,20.379,0.0393,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W5-D30,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,5,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,21.05,0.0,6.04,0.7678,0.7132,0.5,0.25,"{""order-service"":0.413,""inventory-service"":0.7012,""payment-service"":0.4387,""notification-service"":0.19}",3.742,46.63,True,True,20.0,20.861,0.0203,False,5.0,1.0,False,1.0,True,
FAN-LAT-CNT-T50-W10-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,10,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,21.19,0.0,5.45,0.8045,0.7428,0.5,0.25,"{""order-service"":0.416,""inventory-service"":0.6386,""payment-service"":0.4232,""notification-service"":0.1075}",4.376,14.823,True,True,20.0,19.53,0.0869,False,10.0,2.0,False,1.0,True,
FAN-LAT-CNT-T50-W10-D5,FAN_OUT,LATENCY,inventory-service-proxy,COUNT_BASED,50,10,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.25,0.0,4.5,0.8286,0.7775,0.25,0.25,"{""order-service"":0.3695,""inventory-service"":0.6508,""payment-service"":0.273,""notification-service"":0.0367}",4.46,18.023,True,True,20.0,19.404,0.0388,False,10.0,2.0,False,1.0,True,
