experiment_id,topology,fault_type,fault_target,window_type,threshold,window_size,wait_duration,minimum_number_of_calls,permitted_calls_half_open,replicate,mode,environment,run_timestamp,git_commit,duration_s,baseline_tps,baseline_error_rate,fault_tps,fault_error_rate,throughput_loss,blast_radius,real_blast_radius,leg_failure_rates,time_to_open,time_to_recover,cb_opened,cb_recovered,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,occupancy_ratio,inert,injected_toxicity,precondition_ok,excluded_reason
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,21.74,0.0,5.48,0.8291,0.7477,0.25,0.0,"{""order-service"":0.2564,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.66,17.524,True,True,20.0,20.262,0.0781,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.43,0.0,4.71,0.8442,0.7696,0.25,0.0,"{""order-service"":0.2533,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.835,18.849,True,True,20.0,20.094,0.0331,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,20.94,0.0,5.28,0.7943,0.7477,0.25,0.0,"{""order-service"":0.2595,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.77,17.302,True,True,20.0,20.06,0.0695,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,18.97,0.0,5.32,0.8222,0.7196,0.25,0.0,"{""order-service"":0.2581,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.913,24.227,True,True,20.0,20.286,0.0654,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.55,0.0,6.2,0.8122,0.6984,0.25,0.0,"{""order-service"":0.2792,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.539,25.139,True,True,20.0,19.966,0.02,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.06,0.0,5.35,0.8018,0.7335,0.25,0.0,"{""order-service"":0.2677,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.946,25.314,True,True,20.0,19.623,0.0641,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.07,0.0,4.95,0.8272,0.7535,0.25,0.0,"{""order-service"":0.2609,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.786,51.408,True,True,20.0,20.736,0.0522,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,19.51,0.0,6.0,0.7899,0.6926,0.25,0.0,"{""order-service"":0.2748,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.82,46.243,True,True,20.0,19.965,0.0629,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W5-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,5,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,21.04,0.0,5.77,0.8532,0.726,0.25,0.0,"{""order-service"":0.2613,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",2.789,41.956,True,True,20.0,19.811,0.0501,False,5.0,1.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,21.28,0.0,6.52,0.8125,0.6936,0.25,0.0,"{""order-service"":0.3863,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.876,17.589,True,True,20.0,20.131,0.0284,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,19.75,0.0,3.76,0.8744,0.8094,0.25,0.0,"{""order-service"":0.3547,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.826,14.38,True,True,20.0,19.91,0.031,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D5,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,5,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,65.0,22.2,0.0,6.76,0.8128,0.6956,0.25,0.0,"{""order-service"":0.3175,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.597,15.419,True,True,20.0,20.547,0.066,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,20.96,0.0,4.85,0.8203,0.7684,0.25,0.0,"{""order-service"":0.3408,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.601,28.125,True,True,20.0,20.018,0.0245,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.7,0.0,5.54,0.7844,0.7449,0.25,0.0,"{""order-service"":0.3381,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.808,30.007,True,True,20.0,19.765,0.0311,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D15,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,15,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,75.0,21.25,0.0,4.95,0.822,0.7672,0.25,0.0,"{""order-service"":0.35,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.653,24.762,True,True,20.0,20.048,0.079,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,1,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,22.22,0.0,5.3,0.8636,0.7615,0.25,0.0,"{""order-service"":0.3323,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.568,50.235,True,True,20.0,19.18,0.0655,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,2,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,20.73,0.0,7.12,0.7672,0.6566,0.25,0.0,"{""order-service"":0.3237,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.824,47.468,True,True,20.0,20.498,0.0554,False,10.0,2.0,False,1.0,True,
LIN-LAT-CNT-T30-W10-D30,LINEAR,LATENCY,inventory-service-proxy,COUNT_BASED,30,10,30,5,5,3,full,SYNTHETIC_PREVIEW,1970-01-01T00:00:00Z,SYNTHETIC,90.0,21.53,0.0,5.45,0.7949,0.7469,0.25,0.0,"{""order-service"":0.3385,""inventory-service"":0.0,""payment-service"":0.0,""notification-service"":0.0}",3.543,51.552,True,True,20.0,20.401,0.0551,False,10.0,2.0,False,1.0,True,
