experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,permitted_calls_half_open,environment,mode,replicate,run_timestamp,blast_radius,time_to_open,time_to_recover,error_rate,throughput_loss,real_blast_radius,leg_failure_rates,precondition_ok,precondition_fail_reason,readiness_wait_s,cb_state_pre,buffered_calls_pre,warmup_requests,warmup_duration_s,run_order_seed,run_index,load_concurrency,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,machine_id,excluded_reason
LIN-LAT-CNT-T30-W20-D30,LINEAR,LATENCY,COUNT_BASED,30,20,30,5,LOCAL,full,2,2026-09-02T12:01:36Z,0.25,3.706,31.38,0.4167,0.727,0.0,order-service:0.2083;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,29.666,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.725,1201454971,1,45,10.0,9.6208,0.0146,False,20.0,jay-overnight-rerun,
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,COUNT_BASED,30,5,5,5,LOCAL,full,2,2026-09-02T12:03:09Z,0.25,3.256,6.16,0.225,0.7406,0.0,order-service:0.1125;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,28.381,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.698,1201454971,2,45,10.0,9.6504,0.018,False,5.0,jay-overnight-rerun,
LIN-LAT-CNT-T70-W10-D5,LINEAR,LATENCY,COUNT_BASED,70,10,5,5,LOCAL,full,1,2026-09-02T12:05:51Z,0.25,3.704,6.333,0.1,0.7246,0.0,order-service:0.0500;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,30.393,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.77,731605866,1,45,10.0,9.6178,0.0168,False,10.0,jay-overnight-rerun,
LIN-LAT-CNT-T70-W20-D15,LINEAR,LATENCY,COUNT_BASED,70,20,15,5,LOCAL,full,3,2026-09-02T16:46:28Z,0.25,4.658,16.2,0.3,0.6523,0.0,order-service:0.1500;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,53.159,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.814,275993080,1,45,10.0,9.1755,0.014,False,20.0,soham-local,
LIN-LAT-CNT-T30-W5-D30,LINEAR,LATENCY,COUNT_BASED,30,5,30,5,LOCAL,full,2,2026-09-02T17:14:12Z,0.25,3.223,31.169,0.275,0.7079,0.0,order-service:0.1375;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,52.966,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.839,1135757765,1,45,10.0,9.1529,0.0112,False,5.0,soham-local,
LIN-LAT-CNT-T50-W5-D30,LINEAR,LATENCY,COUNT_BASED,50,5,30,5,LOCAL,full,3,2026-09-02T17:16:30Z,0.25,3.394,31.953,0.25,0.7013,0.0,order-service:0.1250;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,46.705,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.818,1135757765,2,45,10.0,9.1657,0.0173,False,5.0,soham-local,
LIN-LAT-TIM-T30-W10-D5,LINEAR,LATENCY,TIME_BASED,30,10,5,5,LOCAL,full,1,2026-09-02T17:18:44Z,0.25,5.182,24.325,0.768,0.8652,0.0,order-service:0.3840;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,48.24,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.746,1135757765,3,45,10.0,9.2695,0.0127,False,92.6949,soham-local,
LIN-LAT-CNT-T70-W5-D15,LINEAR,LATENCY,COUNT_BASED,70,5,15,5,LOCAL,full,3,2026-09-02T17:21:05Z,0.25,3.567,16.101,0.2,0.6896,0.0,order-service:0.1000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,59.164,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.803,1135757765,4,45,10.0,9.1704,0.0194,False,5.0,soham-local,
LIN-LAT-CNT-T50-W20-D30,LINEAR,LATENCY,COUNT_BASED,50,20,30,5,LOCAL,full,3,2026-09-02T17:23:31Z,0.25,4.129,31.972,0.3667,0.6648,0.0,order-service:0.1833;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,48.607,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.832,1135757765,5,45,10.0,9.1877,0.0132,False,20.0,soham-local,
LIN-LAT-TIM-T70-W5-D15,LINEAR,LATENCY,TIME_BASED,70,5,15,5,LOCAL,full,1,2026-09-02T17:26:04Z,0.25,3.464,35.064,0.88,0.932,0.0,order-service:0.4400;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,51.194,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.789,1135757765,6,45,10.0,9.162,0.0113,False,45.8098,soham-local,
