experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,permitted_calls_half_open,environment,mode,replicate,run_timestamp,blast_radius,time_to_open,time_to_recover,error_rate,throughput_loss,real_blast_radius,leg_failure_rates,precondition_ok,precondition_fail_reason,readiness_wait_s,cb_state_pre,buffered_calls_pre,warmup_requests,warmup_duration_s,run_order_seed,run_index,load_concurrency,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,machine_id,excluded_reason
FAN-LAT-CNT-T50-W10-D15,FANOUT,LATENCY,COUNT_BASED,50,10,15,5,LOCAL,full,1,2026-09-03T07:05:17Z,0.2500,3.552,16.112,0.2000,0.7316,0.0000,order-service:0.1000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,54.202,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.801,938463058,1,45,10.0000,9.1716,0.0109,False,10.0000,soham-local,
FAN-LAT-TIM-T70-W10-D15,FANOUT,LATENCY,TIME_BASED,70,10,15,5,LOCAL,full,2,2026-09-03T07:07:57Z,0.2500,8.1,35.387,0.7743,0.8809,0.0000,order-service:0.3871;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,53.024,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.784,938463058,2,45,10.0000,9.1777,0.0110,False,91.7767,soham-local,
FAN-LAT-TIM-T30-W10-D15,FANOUT,LATENCY,TIME_BASED,30,10,15,5,LOCAL,full,3,2026-09-03T07:10:32Z,0.2500,5.272,38.509,0.8514,0.9226,0.0000,order-service:0.4257;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,48.306,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.823,938463058,3,45,10.0000,9.1518,0.0098,False,91.5176,soham-local,
FAN-LAT-TIM-T30-W10-D15,FANOUT,LATENCY,TIME_BASED,30,10,15,5,LOCAL,full,2,2026-09-03T07:13:03Z,0.2500,5.282,38.279,0.8514,0.9226,0.0000,order-service:0.4257;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,45.089,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.833,938463058,4,45,10.0000,9.1639,0.0088,False,91.6387,soham-local,
FAN-LAT-CNT-T30-W10-D15,FANOUT,LATENCY,COUNT_BASED,30,10,15,5,LOCAL,full,2,2026-09-03T07:15:00Z,0.2500,3.33,16.226,0.2500,0.7462,0.0000,order-service:0.1250;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,40.466,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.807,938463058,5,45,10.0000,9.1619,0.0072,False,10.0000,soham-local,
FAN-LAT-CNT-T50-W10-D15,FANOUT,LATENCY,COUNT_BASED,50,10,15,5,LOCAL,full,2,2026-09-03T07:17:03Z,0.2500,3.568,17.001,0.2000,0.7310,0.0000,order-service:0.1000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,44.146,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.854,938463058,6,45,10.0000,9.1836,0.0152,False,10.0000,soham-local,
FAN-LAT-TIM-T50-W10-D15,FANOUT,LATENCY,TIME_BASED,50,10,15,5,LOCAL,full,1,2026-09-03T07:19:24Z,0.2500,6.673,36.948,0.8171,0.9047,0.0000,order-service:0.4086;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,40.291,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.809,938463058,7,45,10.0000,9.1540,0.0094,False,91.5400,soham-local,
FAN-LAT-TIM-T70-W10-D15,FANOUT,LATENCY,TIME_BASED,70,10,15,5,LOCAL,full,3,2026-09-03T07:21:43Z,0.2500,8.16,35.467,0.7743,0.8823,0.0000,order-service:0.3871;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,38.937,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.807,938463058,8,45,10.0000,9.1632,0.0096,False,91.6319,soham-local,
FAN-LAT-TIM-T70-W10-D15,FANOUT,LATENCY,TIME_BASED,70,10,15,5,LOCAL,full,1,2026-09-03T07:24:04Z,0.2500,8.089,35.454,0.7743,0.8822,0.0000,order-service:0.3871;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,41.044,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.811,938463058,9,45,10.0000,9.1660,0.0084,False,91.6603,soham-local,
FAN-LAT-CNT-T50-W10-D15,FANOUT,LATENCY,COUNT_BASED,50,10,15,5,LOCAL,full,3,2026-09-03T07:26:00Z,0.2500,3.693,16.956,0.2000,0.7266,0.0000,order-service:0.1000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,38.923,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,21.826,938463058,10,45,10.0000,9.1622,0.0118,False,10.0000,soham-local,
