experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,permitted_calls_half_open,environment,mode,replicate,run_timestamp,blast_radius,time_to_open,time_to_recover,error_rate,throughput_loss,real_blast_radius,leg_failure_rates,precondition_ok,precondition_fail_reason,readiness_wait_s,cb_state_pre,buffered_calls_pre,warmup_requests,warmup_duration_s,run_order_seed,run_index,load_concurrency,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,machine_id,excluded_reason
LIN-CRS-CNT-T70-W20-D15,LINEAR,CRASH,COUNT_BASED,70,20,15,5,LOCAL,full,3,2026-09-05T22:11:33Z,0.5000,1.365,16.984,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,29.246,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.036,2018364128,1,5,10.0000,9.9823,0.0017,False,20.0000,codespace,
LIN-CRS-TIM-T70-W10-D15,LINEAR,CRASH,TIME_BASED,70,10,15,5,LOCAL,full,2,2026-09-05T22:13:36Z,0.5000,7.352,31.864,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,29.837,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.036,2018364128,2,5,10.0000,9.9857,0.0003,False,99.8572,codespace,
LIN-CRS-CNT-T30-W5-D15,LINEAR,CRASH,COUNT_BASED,30,5,15,5,LOCAL,full,2,2026-09-05T22:15:14Z,0.5000,0.233,16.073,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.244,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.034,2018364128,3,5,10.0000,9.9853,0.0003,False,5.0000,codespace,
LIN-CRS-TIM-T30-W5-D15,LINEAR,CRASH,TIME_BASED,30,5,15,5,LOCAL,full,3,2026-09-05T22:17:08Z,0.2500,1.547,31.648,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.148,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.033,2018364128,4,5,10.0000,9.9852,0.0014,False,49.9259,codespace,
LIN-CRS-TIM-T30-W10-D5,LINEAR,CRASH,TIME_BASED,30,10,5,5,LOCAL,full,3,2026-09-05T22:19:01Z,0.5000,3.042,28.217,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,26.923,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.035,2018364128,5,5,10.0000,9.9857,0.0010,False,99.8569,codespace,
LIN-CRS-TIM-T70-W20-D15,LINEAR,CRASH,TIME_BASED,70,20,15,5,LOCAL,full,3,2026-09-05T22:21:23Z,0.5000,14.183,47.251,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.161,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.031,2018364128,6,5,10.0000,9.9859,0.0015,False,199.7185,codespace,
LIN-CRS-CNT-T30-W20-D15,LINEAR,CRASH,COUNT_BASED,30,20,15,5,LOCAL,full,1,2026-09-05T22:23:02Z,0.5000,0.681,16.619,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.205,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.037,2018364128,7,5,10.0000,9.9850,0.0006,False,20.0000,codespace,
LIN-CRS-CNT-T30-W5-D5,LINEAR,CRASH,COUNT_BASED,30,5,5,5,LOCAL,full,2,2026-09-05T22:24:30Z,0.5000,0.234,6.954,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,26.792,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.034,2018364128,8,5,10.0000,9.9851,0.0004,False,5.0000,codespace,
LIN-CRS-CNT-T30-W10-D30,LINEAR,CRASH,COUNT_BASED,30,10,30,5,LOCAL,full,1,2026-09-05T22:26:23Z,0.2500,0.238,31.345,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.801,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.037,2018364128,9,5,10.0000,9.9850,0.0004,False,10.0000,codespace,
LIN-CRS-CNT-T30-W20-D30,LINEAR,CRASH,COUNT_BASED,30,20,30,5,LOCAL,full,3,2026-09-05T22:28:16Z,0.5000,0.71,31.822,1.0000,1.0000,1.0000,order-service:1.0000;inventory-service:1.0000,True,,27.106,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200,20.034,2018364128,10,5,10.0000,9.9834,0.0009,False,20.0000,codespace,
