experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,permitted_calls_half_open,environment,mode,replicate,run_timestamp,blast_radius,time_to_open,time_to_recover,error_rate,throughput_loss,real_blast_radius,leg_failure_rates
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,COUNT_BASED,30,5,5,5,LOCAL,full,1,2026-07-26T21:45:04Z,0.2000,3.4,6.636,0.8500,0.8906,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,COUNT_BASED,30,5,5,5,LOCAL,full,2,2026-07-26T21:46:03Z,0.2000,3.402,6.709,0.8500,0.9061,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-CNT-T30-W5-D5,LINEAR,LATENCY,COUNT_BASED,30,5,5,5,LOCAL,full,3,2026-07-26T21:47:03Z,0.2000,3.423,6.549,0.8500,0.8688,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-TIM-T30-W5-D5,LINEAR,LATENCY,TIME_BASED,30,5,5,5,LOCAL,full,1,2026-07-26T21:48:23Z,0.2000,6.195,23.947,0.9000,0.8836,0.2000,gateway-service:0.9000;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-TIM-T30-W5-D5,LINEAR,LATENCY,TIME_BASED,30,5,5,5,LOCAL,full,2,2026-07-26T21:49:43Z,0.2000,6.415,23.894,0.9000,0.9097,0.2000,gateway-service:0.9000;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-TIM-T30-W5-D5,LINEAR,LATENCY,TIME_BASED,30,5,5,5,LOCAL,full,3,2026-07-26T21:51:05Z,0.2000,6.223,23.872,0.9000,0.9006,0.2000,gateway-service:0.9000;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,COUNT_BASED,30,5,15,5,LOCAL,full,1,2026-07-26T21:52:20Z,0.2000,3.455,16.261,0.8500,0.8826,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,COUNT_BASED,30,5,15,5,LOCAL,full,2,2026-07-26T21:53:30Z,0.2000,3.355,16.16,0.8500,0.9273,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-CNT-T30-W5-D15,LINEAR,LATENCY,COUNT_BASED,30,5,15,5,LOCAL,full,3,2026-07-26T21:54:40Z,0.2000,3.366,16.125,0.8500,0.8836,0.2000,gateway-service:0.8500;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
LIN-LAT-TIM-T30-W5-D15,LINEAR,LATENCY,TIME_BASED,30,5,15,5,LOCAL,full,1,2026-07-26T21:56:08Z,0.2000,3.648,34.734,0.9533,0.9510,0.2000,gateway-service:0.9533;order-service:0.0000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000
